Title,Address,Latitude,Longitude,Original_URL
Oro Valley Eyecare,"760 E Pusch View Ln #100, Oro Valley, AZ 85737, United States",32.3959614,-110.9604169,https://www.google.com/maps/place/Oro+Valley+Eyecare/data=!4m2!3m1!1s0x86d60cf8f13f1303:0xc55d988b9c05e516
Graff Bruce V OD,"1406 Bailey Ave, Needles, CA 92363, United States",34.83261,-114.6190634,https://www.google.com/maps/place/Graff+Bruce+V+OD/data=!4m2!3m1!1s0x80ce24820ad72cf5:0x1ac5bed6e0cee561
Farr Eyecare Group / The Eye Center,"2974 N Alma School Rd suite 3, Chandler, AZ 85224, United States",33.347507,-111.8598617,https://www.google.com/maps/place/Farr+Eyecare+Group+%2F+The+Eye+Center/data=!4m2!3m1!1s0x872b07566ebc484d:0xa786acfa2e8406ca
Somerton Eyecare Center,"725 E Main St SUITE 1C, Somerton, AZ 85350, United States",32.5962781,-114.7026981,https://www.google.com/maps/place/Somerton+Eyecare+Center/data=!4m2!3m1!1s0x80d6575eced9a61f:0xbebefee48cba4d4b
Page Eye Center,"420 N Navajo Dr #1806, Page, AZ 86040, United States",36.9165525,-111.4632975,https://www.google.com/maps/place/Page+Eye+Center/data=!4m2!3m1!1s0x873414a42426e751:0x4aa2302b31c105e4
"Focal Point Eyewear, Inc.","322 N HWY 160 Suite #13, Tuba City, AZ 86045, United States",36.1222597,-111.2226561,"https://www.google.com/maps/place/Focal+Point+Eyewear,+Inc./data=!4m2!3m1!1s0x8733d3a25a7b05d5:0xc24e27c8434622f1"
"Brad D. Packer, OD","412 Whipple St, Prescott, AZ 86301, United States",34.5574669,-112.4739372,"https://www.google.com/maps/place/Brad+D.+Packer,+OD/data=!4m2!3m1!1s0x872d2f2bad5bd16b:0xd7df6ac9c0945347"
Fornara Eye Center,"199 S Candy Ln #2A, Cottonwood, AZ 86326, United States",34.7366859,-112.0315215,https://www.google.com/maps/place/Fornara+Eye+Center/data=!4m2!3m1!1s0x872d0feeeb64b4a9:0x57a3340d7f6fce10
Sedona Eye Care,"95 Soldiers Pass Rd A-1, Sedona, AZ 86336, United States",34.864118,-111.783257,https://www.google.com/maps/place/Sedona+Eye+Care/data=!4m2!3m1!1s0x872da147da46a77f:0x28487035620afa5f
Stuart Eye Center,"122 W 3rd St, Winslow, AZ 86047, United States",35.0247987,-110.6983158,https://www.google.com/maps/place/Stuart+Eye+Center/data=!4m2!3m1!1s0x872fa81229635fd3:0x3f00b109378aaf12
Dr. Tracy Montierth,"1502 S 1st Ave Ste 8, Safford, AZ 85546, United States",32.8223093,-109.7077793,https://www.google.com/maps/place/Dr.+Tracy+Montierth/data=!4m2!3m1!1s0x86d7fb811b36aaab:0x5c0fdc495f00bbf2
Western Medical Eye Center,"1800 AZ-95, Bullhead City, AZ 86442, United States",35.1203757,-114.5894688,https://www.google.com/maps/place/Western+Medical+Eye+Center/data=!4m2!3m1!1s0x80ce41622a6b5cff:0xcc1b5ac408461a0f
Mohave Eye Center,"2110 Airway Ave, Kingman, AZ 86409, United States",35.2244671,-114.0287671,https://www.google.com/maps/place/Mohave+Eye+Center/data=!4m2!3m1!1s0x80ce40e0c811ab97:0x4144924a93f893af
Colorado River Eye Care,"2840 AZ-95 #108, Bullhead City, AZ 86442, United States",35.0834191,-114.5968193,https://www.google.com/maps/place/Colorado+River+Eye+Care/data=!4m2!3m1!1s0x80ce4121c01c0ab9:0xf8bb5415ce7c041e
Custom Eyes,"2500 N Silverbell Rd Ste 180 Ste. 180, Tucson, AZ 85745, United States",32.2530217,-111.014046,https://www.google.com/maps/place/Custom+Eyes/data=!4m2!3m1!1s0x80c8d1a8179ef409:0xa996683329cf82c6
Capella Eyecare,"12625 N Saguaro Blvd STE 106, Fountain Hills, AZ 85268, United States",33.6005712,-111.7152298,https://www.google.com/maps/place/Capella+Eyecare/data=!4m2!3m1!1s0x872b9880b49a1ab1:0x4417ce5c1bf2d3b8
